Rating,Jersey Number,Team,Position,Height,Weight,Salary,Country,Draft Year,Draft Round,Draft Pick,Age
78,11,Phoenix Suns,G,191,81.6,16200000,Spain,2009,1,5,31
78,5,Denver Nuggets,G,196,79.4,12776786,USA,2012,2,40,30
78,8,Sacramento Kings,G,198,93,8529386,Serbia,2014,1,27,29
78,13,Washington Wizards,F-C,208,109.3,8000000,USA,2017,2,42,24
78,34,Chicago Bulls,C,206,117.5,5201400,USA,2018,1,7,22
78,8,Utah Jazz,G,193,84.4,13437500,Philippines,2014,2,46,29
78,10,Orlando Magic,G,201,86.2,17150000,France,2012,1,20,29
78,10,Houston Rockets,G,191,97.5,14057730,USA,2008,1,7,33
78,4,Los Angeles Clippers,F,203,99.8,4767000,USA,2012,2,60,31
78,12,Brooklyn Nets,G,198,97.5,7666667,USA,2014,2,33,30
78,9,Miami Heat,G-F,198,93.9,17185185,USA,2004,1,9,37
78,22,Brooklyn Nets,G,198,86.6,2625717,USA,2016,1,20,27
78,0,Los Angeles Clippers,F,203,106.6,15000000,USA,2011,1,14,32
78,5,San Antonio Spurs,G,193,77.1,2321735,USA,2016,1,29,25
78,22,Cleveland Cavaliers,F,201,103,12727273,USA,2015,1,27,28
78,9,Miami Heat,C,211,106.1,12667885,Canada,2013,1,13,30
78,3,Phoenix Suns,F-G,201,92.1,15625000,USA,2015,1,15,26
78,0,Sacramento Kings,F,203,106.6,6500000,USA,2014,1,2,26
78,1,New York Knicks,F-C,208,111.6,15000000,USA,2015,1,22,26
78,3,Charlotte Hornets,G,185,86.2,19894737,USA,2015,1,16,27
78,17,Oklahoma City Thunder,G,185,78,15500000,Germany,2013,1,17,28
78,0,Atlanta Hawks,G,191,82.1,19000000,USA,2009,1,19,33
78,4,San Antonio Spurs,G,193,90.7,1948080,USA,2017,1,29,27
78,0,Memphis Grizzlies,F,198,100.7,13000000,USA,2015,1,10,25
77,10,Cleveland Cavaliers,G,185,79.4,6400920,USA,2019,1,5,21
77,12,Atlanta Hawks,F,201,102.1,7068360,USA,2019,1,4,24
77,2,Orlando Magic,F,203,97.5,9258000,Nigeria,2010,1,8,31
77,5,Orlando Magic,C,213,102.1,5697600,USA,2018,1,6,23
77,5,Charlotte Hornets,F-G,206,95.3,25565217,France,2008,1,25,33
77,0,Minnesota Timberwolves,G,193,89.8,2731713,USA,2016,1,19,25
77,88,Sacramento Kings,F-G,208,101.6,6825000,Serbia,2010,2,35,33
77,0,Houston Rockets,F,198,96.2,7339258,USA,2009,1,27,35
77,17,Utah Jazz,F,206,97.5,4767000,USA,2010,1,13,32
77,67,New York Knicks,F,206,102.1,9000000,USA,2009,1,26,36
77,9,Denver Nuggets,F,203,97.1,9346153,USA,2014,2,39,27
77,14,Los Angeles Lakers,G,198,94.8,14634147,USA,2009,2,46,34
77,11,Dallas Mavericks,G,196,90.3,20025127,USA,2013,1,24,29
77,0,Sacramento Kings,C,213,102.1,4160000,Ukraine,2013,1,5,28
77,5,Golden State Warriors,F,206,100.7,4464286,USA,2015,1,30,25
77,11,Denver Nuggets,G,188,79.4,1588231,USA,2017,2,51,26
77,9,Oklahoma City Thunder,F-C,208,93.4,1882867,USA,2013,1,6,27
77,24,Denver Nuggets,C-F,211,108,14041096,USA,2013,1,22,31
77,25,San Antonio Spurs,C-F,216,108.4,3754885,Austria,2016,1,9,26
77,7,Dallas Mavericks,F-C,208,106.1,10259375,Canada,2014,2,45,30
77,2,Brooklyn Nets,F,201,99.8,3481985,USA,2016,1,12,27
77,20,Phoenix Suns,F,208,98,3481985,Croatia,2014,1,12,27
77,2,Cleveland Cavaliers,G,185,86.2,4764960,USA,2018,1,8,22
77,5,New York Knicks,G,188,88.5,4463640,USA,2017,1,9,24
77,40,Charlotte Hornets,C-F,213,104.3,14471910,USA,2013,1,4,29
77,40,Los Angeles Clippers,C,213,120.2,6481482,Croatia,2016,2,32,24
77,23,Minnesota Timberwolves,G,198,88.5,5813640,USA,2019,1,6,22
76,9,Charlotte Hornets,C-F,211,115.7,1676735,Spain,2015,2,35,27
